dataset,dependence,task,method,operator,aggregation,relevance,redundancy,stop_mode,k,score_threshold,seed,precision,recall,f1,redundancy_rate,noise_rate,downstream_score,runtime_s
sine,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_fixed_k,2,,0,0.0,0.0,0.0,0.0,1.0,-0.24818093495514493,0.16893270699074492
sine,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_threshold,8,0.1,0,0.125,1.0,0.2222222222222222,0.125,0.625,0.9483107918658759,0.24286841694265604
sine,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.0,0.6,0.9514875223400496,0.17478029101039283
sine,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_threshold,8,0.0,0,0.125,1.0,0.2222222222222222,0.125,0.625,0.9475745524405903,0.2242206659866497
sine,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.0,0.6,0.9531436017386289,0.19286379098775797
sine,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_threshold,6,0.05,0,0.16666666666666666,1.0,0.2857142857142857,0.0,0.6666666666666666,0.9521046995049509,0.24313258402980864
sine,nonlinear,regression,skb_f,,,,,val_fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.2,0.4,0.9570177643638157,0.139558415976353
sine,nonlinear,regression,skb_mi,,,,,val_fixed_k,2,,0,0.5,1.0,0.6666666666666666,0.0,0.0,0.96142568174684,0.15789437599596567
sine,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,1,1.0,1.0,1.0,0.0,0.0,0.9711624891244287,0.3983817500411533
sine,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,1,1.0,1.0,1.0,0.0,0.0,0.9711624891244287,0.39647937496192753
sine,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,1,1.0,1.0,1.0,0.0,0.0,0.9711624891244287,0.3946182080253493
sine,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,5,0.1,1,0.2,1.0,0.33333333333333337,0.2,0.4,0.9437555289585108,0.45905454296735115
sine,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,1,1.0,1.0,1.0,0.0,0.0,0.9711624891244287,0.3998218319902662
sine,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,1,1.0,1.0,1.0,0.0,0.0,0.9711624891244287,0.38950958399800584
sine,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_fixed_k,2,,1,0.0,0.0,0.0,0.0,0.5,-0.16683926898628298,0.16981375103932805
sine,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_threshold,7,0.1,1,0.14285714285714285,1.0,0.25,0.14285714285714285,0.5714285714285714,0.9324488111643491,0.22918629099149257
sine,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_fixed_k,5,,1,0.2,1.0,0.33333333333333337,0.0,0.6,0.9412801732257872,0.17531800002325326
sine,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_threshold,8,0.1,1,0.125,1.0,0.2222222222222222,0.125,0.625,0.9243706160682201,0.25710995800909586
sine,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_fixed_k,2,,1,0.0,0.0,0.0,0.0,0.5,-0.16683926898628298,0.1719853329414036
sine,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_threshold,6,0.1,1,0.16666666666666666,1.0,0.2857142857142857,0.0,0.6666666666666666,0.9310976166847582,0.23414516798220575
sine,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_fixed_k,2,,1,0.0,0.0,0.0,0.0,0.5,-0.16683926898628298,0.19130858196876943
sine,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_threshold,6,0.1,1,0.16666666666666666,1.0,0.2857142857142857,0.0,0.6666666666666666,0.9308637909212476,0.2523205410398077
sine,nonlinear,regression,skb_f,,,,,val_fixed_k,2,,1,0.0,0.0,0.0,0.0,0.5,-0.17219691676041915,0.13818566701957025
sine,nonlinear,regression,skb_mi,,,,,val_fixed_k,1,,1,1.0,1.0,1.0,0.0,0.0,0.9711624891244287,0.1571510419889819
sine,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,2,1.0,1.0,1.0,0.0,0.0,0.96749276210295,0.40066087499144487
sine,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,2,1.0,1.0,1.0,0.0,0.0,0.96749276210295,0.3871466669952497
sine,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,2,1.0,1.0,1.0,0.0,0.0,0.96749276210295,0.39909287597402
sine,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,5,0.1,2,0.2,1.0,0.33333333333333337,0.2,0.4,0.9683244544588918,0.4461337080283556
sine,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,2,1.0,1.0,1.0,0.0,0.0,0.96749276210295,0.3984385840012692
sine,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,2,1.0,1.0,1.0,0.0,0.0,0.96749276210295,0.3943713339685928
sine,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,1.0,-0.3254780166411104,0.16985633200965822
sine,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_threshold,5,0.1,2,0.2,1.0,0.33333333333333337,0.0,0.6,0.9698936472300745,0.23998662299709395
sine,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_fixed_k,5,,2,0.2,1.0,0.33333333333333337,0.0,0.6,0.9706295541085774,0.17697208395111375
sine,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_threshold,8,0.1,2,0.125,1.0,0.2222222222222222,0.125,0.625,0.9663234223402734,0.24785704203532077
sine,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,1.0,-0.3254780166411104,0.17114195800968446
sine,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_threshold,8,0.0,2,0.125,1.0,0.2222222222222222,0.125,0.625,0.9664532657865509,0.24289204200613312
sine,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_fixed_k,2,,2,0.0,0.0,0.0,0.0,1.0,-0.3254780166411104,0.18933308296254836
sine,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_threshold,8,0.0,2,0.125,1.0,0.2222222222222222,0.125,0.625,0.9660088315244539,0.26055487600388005
sine,nonlinear,regression,skb_f,,,,,val_fixed_k,5,,2,0.2,1.0,0.33333333333333337,0.2,0.4,0.9701236986252749,0.1359860830125399
sine,nonlinear,regression,skb_mi,,,,,val_fixed_k,1,,2,1.0,1.0,1.0,0.0,0.0,0.96749276210295,0.15718841599300504
nonlin_redundancy_clf,mixed,classification,MID,difference,mean,mutual_info_classif,mutual_info_sklearn,val_fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.0,0.8,0.903642936596218,0.32229650096269324
nonlin_redundancy_clf,mixed,classification,MID,difference,mean,mutual_info_classif,mutual_info_sklearn,val_threshold,3,0.0,0,0.3333333333333333,1.0,0.5,0.0,0.6666666666666666,0.8912680756395995,0.317984500026796
nonlin_redundancy_clf,mixed,classification,MIQ,quotient,mean,mutual_info_classif,mutual_info_sklearn,val_fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.0,0.8,0.9079532814238043,0.32336829297128133
nonlin_redundancy_clf,mixed,classification,MIQ,quotient,mean,mutual_info_classif,mutual_info_sklearn,val_threshold,3,0.1,0,0.3333333333333333,1.0,0.5,0.0,0.6666666666666666,0.9085094549499444,0.3384299980243668
