kind,dataset,p,operator,aggregation,k,recovery_f1,noise_rate,recall_informative,average_precision,roc_auc,downstream_score,runtime_s
synthetic,synthetic_p500,500,difference,mean,5,0.336,0.16,0.26,0.18473333333333336,0.6264242424242423,,0.06800717510050162
synthetic,synthetic_p500,500,difference,mean,10,0.5066666666666666,0.24,0.4,0.22483333333333336,0.6926060606060607,,0.07030284168431536
synthetic,synthetic_p500,500,difference,mean,20,0.54,0.45999999999999996,0.6599999999999999,0.2744907589142883,0.8155757575757576,,0.07721552950097248
synthetic,synthetic_p500,500,multiplicative,max,5,0.4,0.0,0.26,0.15940000000000001,0.6262626262626262,,0.06722415420226753
synthetic,synthetic_p500,500,multiplicative,max,10,0.5866666666666667,0.12,0.54,0.23696507936507935,0.7622424242424243,,0.07083314170595259
synthetic,synthetic_p500,500,multiplicative,max,20,0.545,0.45499999999999996,0.62,0.2597938672438672,0.7975555555555556,,0.07956632080604323
synthetic,synthetic_p500,500,multiplicative,mean,5,0.4,0.0,0.22000000000000003,0.14613333333333334,0.6061818181818182,,0.06706190429395065
synthetic,synthetic_p500,500,multiplicative,mean,10,0.6666666666666666,0.0,0.62,0.27327619047619045,0.8024444444444445,,0.0714581041072961
synthetic,synthetic_p500,500,multiplicative,mean,20,0.785,0.215,0.6799999999999999,0.28973912753912756,0.8287676767676768,,0.07958896679920144
synthetic,synthetic_p500,500,quotient,mean,5,0.12800000000000003,0.6799999999999999,0.1,0.083,0.5455757575757576,,0.06711677099810913
synthetic,synthetic_p500,500,quotient,mean,10,0.2066666666666667,0.69,0.2,0.11022222222222222,0.591030303030303,,0.07158267080667428
synthetic,synthetic_p500,500,quotient,mean,20,0.315,0.6849999999999999,0.31999999999999995,0.12109144505305496,0.6424646464646464,,0.07913720829528756
synthetic,synthetic_p500,500,reg_quotient,mean,5,0.392,0.02,0.36,0.2524,0.6768888888888889,,0.0664364042924717
synthetic,synthetic_p500,500,reg_quotient,mean,10,0.6399999999999999,0.04,0.54,0.3074174603174603,0.7632929292929294,,0.06942866230383515
synthetic,synthetic_p500,500,reg_quotient,mean,20,0.655,0.34500000000000003,0.6799999999999999,0.341701776001776,0.828848484848485,,0.07539775430341251
synthetic,synthetic_p5000,5000,difference,mean,5,0.328,0.18,0.3,0.19436666666666666,0.6496576576576577,,0.8515394957037643
synthetic,synthetic_p5000,5000,difference,mean,10,0.47333333333333333,0.29,0.38,0.22619142857142854,0.6893273273273273,,0.8231221708992962
synthetic,synthetic_p5000,5000,difference,mean,20,0.52,0.48,0.6799999999999999,0.286064671994672,0.8385745745745746,,0.88128815429518
synthetic,synthetic_p5000,5000,multiplicative,max,5,0.4,0.0,0.26,0.15174,0.6296296296296295,,0.8172269043046981
synthetic,synthetic_p5000,5000,multiplicative,max,10,0.54,0.19,0.45999999999999996,0.2107463492063492,0.7292512512512512,,0.852209516701987
synthetic,synthetic_p5000,5000,multiplicative,max,20,0.45500000000000007,0.545,0.52,0.22021015873015873,0.7586906906906907,,0.8607457999954932
synthetic,synthetic_p5000,5000,multiplicative,mean,5,0.4,0.0,0.24000000000000005,0.13309333333333334,0.6196116116116116,,0.8191385416081175
synthetic,synthetic_p5000,5000,multiplicative,mean,10,0.6666666666666666,0.0,0.6,0.25546349206349206,0.7992512512512512,,0.8518328165984712
synthetic,synthetic_p5000,5000,multiplicative,mean,20,0.74,0.26,0.6799999999999999,0.2797191563991564,0.838874874874875,,0.8649609582906124
synthetic,synthetic_p5000,5000,quotient,mean,5,0.08800000000000001,0.78,0.08,0.06892000000000001,0.5395555555555556,,0.8343833041959442
synthetic,synthetic_p5000,5000,quotient,mean,10,0.15333333333333335,0.77,0.16,0.08534,0.5790910910910911,,0.8316732040024363
synthetic,synthetic_p5000,5000,quotient,mean,20,0.22999999999999998,0.77,0.32,0.1027310571300045,0.6581461461461462,,0.8880842625920196
synthetic,synthetic_p5000,5000,reg_quotient,mean,5,0.376,0.06000000000000001,0.38,0.25428666666666666,0.6896976976976977,,0.8379696956078988
synthetic,synthetic_p5000,5000,reg_quotient,mean,10,0.6066666666666667,0.09,0.54,0.30944412698412693,0.7693593593593594,,0.8611733917146921
synthetic,synthetic_p5000,5000,reg_quotient,mean,20,0.605,0.395,0.6799999999999999,0.34445897213897214,0.838926926926927,,0.8665381081926171
