operator,p,seed,k,downstream_score,recovery_f1,noise_rate,recall_informative,average_precision,roc_auc,runtime_s
quotient,5000,0,20,0.8923076923076922,0.25,0.75,0.4,0.06726666666666667,0.6983183183183183,0.9303347910172306
quotient,5000,1,20,0.8858974358974359,0.20000000000000004,0.8,0.2,0.011911111111111112,0.5977977977977977,0.9297176660038531
quotient,5000,2,20,0.9192307692307693,0.25,0.75,0.4,0.22060000000000002,0.6981981981981982,0.8444489999674261
quotient,5000,3,20,0.759150290271468,0.15,0.85,0.0,0.001,0.497997997997998,0.9018016249756329
quotient,5000,4,20,0.8999861932031111,0.3,0.7,0.4,0.03598461538461539,0.6977177177177177,0.9000398750067689
quotient,5000,5,20,0.9628564290363513,0.3,0.7,0.6,0.3470666666666667,0.7989589589589591,0.9407841670326889
quotient,5000,6,20,0.9012518162512574,0.25,0.75,0.4,0.24060000000000004,0.6985985985985986,0.9932836249936372
quotient,5000,7,20,0.8385130737217208,0.20000000000000004,0.8,0.2,0.014133333333333335,0.5979179179179178,1.0190582920331508
quotient,5000,8,20,0.8768146433831264,0.25,0.75,0.6,0.08774817813765182,0.7979579579579581,0.8585666669532657
quotient,5000,9,20,0.7755759520302966,0.15,0.85,0.0,0.001,0.497997997997998,0.9294359579798765
reg_quotient,5000,0,20,0.9474358974358974,0.6,0.4,0.8,0.33292727272727274,0.8989989989989989,0.8975090829771943
reg_quotient,5000,1,20,0.9423076923076923,0.6,0.4,0.6,0.11716767676767677,0.7983583583583584,0.9130330409971066
reg_quotient,5000,2,20,0.9320512820512821,0.6,0.4,1.0,0.7753968253968253,0.9996796796796796,0.8666695830179378
reg_quotient,5000,3,20,0.9230829919986325,0.5,0.5,0.6,0.21706666666666666,0.7987987987987989,0.8481266660382971
reg_quotient,5000,4,20,0.9243157417208528,0.6,0.4,0.6,0.35373333333333334,0.7991591591591592,0.8306089999969117
reg_quotient,5000,5,20,0.9718144103511529,0.6,0.4,0.6,0.6004,0.7993193193193194,0.8341752080013976
reg_quotient,5000,6,20,0.9345787940749117,0.8000000000000002,0.2,0.8,0.3437064935064935,0.8985585585585586,0.8716279999935068
reg_quotient,5000,7,20,0.9050947080519924,0.55,0.45,0.4,0.08136923076923078,0.6983583583583584,0.8235629999544472
reg_quotient,5000,8,20,0.9460340837365875,0.65,0.35,0.8,0.44242222222222216,0.8993193193193194,0.894725332967937
reg_quotient,5000,9,20,0.8897143909110036,0.55,0.45,0.6,0.1804,0.7987187187187188,0.8785907079582103
difference,10000,0,20,0.9372501577950767,0.5,0.5,0.8,0.2901,0.8992996498249125,2.612397124990821
difference,10000,1,20,0.942271152341567,0.45,0.55,0.6,0.1152,0.7991795897948974,2.4610024159774184
difference,10000,2,20,0.9218125394487693,0.5,0.5,1.0,0.7133333333333334,0.9997198599299649,2.562565667030867
difference,10000,3,20,0.9153846153846154,0.5,0.5,0.4,0.08918888888888889,0.6990995497748874,2.7504661249695346
difference,10000,4,20,0.9372546828052781,0.5,0.5,0.4,0.13030000000000003,0.6993396698349175,2.258335457998328
difference,10000,5,20,0.9538054912686724,0.5,0.5,0.6,0.6002000000000001,0.7996598299149575,2.2892322500119917
difference,10000,6,20,0.9384615384615385,0.65,0.35,0.8,0.3024993808049536,0.8989794897448725,2.3215942079550587
difference,10000,7,20,0.9102564102564102,0.5,0.5,0.4,0.06030000000000001,0.6990195097548774,2.4119422500371
difference,10000,8,20,0.9397070329193487,0.6,0.4,0.8,0.29914761904761905,0.8994997498749375,2.237839500012342
difference,10000,9,20,0.8730769230769231,0.5,0.5,0.6,0.14474545454545457,0.79927963981991,2.3074497500201687
multiplicative,10000,0,20,0.9411292867662528,0.8000000000000002,0.2,0.8,0.3801,0.8995597798899451,2.466989459004253
multiplicative,10000,1,20,0.9512685816474796,0.7,0.3,0.6,0.19258095238095235,0.7994197098549275,2.3746501249843277
