dataset,dependence,task,method,operator,aggregation,relevance,redundancy,stop_mode,k,score_threshold,seed,precision,recall,f1,redundancy_rate,noise_rate,downstream_score,runtime_s
parabola,nonlinear,regression,skb_f,,,,,fixed_k,5,,1,0.2,1.0,0.33333333333333337,0.2,0.4,0.9898927249938846,0.00022445799550041556
parabola,nonlinear,regression,skb_mi,,,,,fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.007617583993123844
parabola,nonlinear,regression,skb_mi,,,,,fixed_k,2,,1,0.5,1.0,0.6666666666666666,0.0,0.0,0.9915779181896549,0.00755904201650992
parabola,nonlinear,regression,skb_mi,,,,,fixed_k,5,,1,0.2,1.0,0.33333333333333337,0.2,0.4,0.9912191026150762,0.007644875004189089
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,1,,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.07653033299720846
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9855972857118009,0.07648966700071469
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,5,,2,0.2,1.0,0.33333333333333337,0.2,0.4,0.9867137164271049,0.07676316701690666
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,6,0.0,2,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9860748270249077,0.07882087500183843
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.05,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.0757443750044331
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.1,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.07642745799967088
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,1,,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.07545116599067114
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9870955232640756,0.07670670800143853
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,5,,2,0.2,1.0,0.33333333333333337,0.2,0.4,0.9868149105363488,0.07905183301772922
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,8,0.0,2,0.125,1.0,0.2222222222222222,0.125,0.625,0.9861859964768577,0.08025491700391285
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,5,0.05,2,0.2,1.0,0.33333333333333337,0.2,0.4,0.9868149105363488,0.0800406250054948
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,5,0.1,2,0.2,1.0,0.33333333333333337,0.2,0.4,0.9868149105363488,0.08043650002218783
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,fixed_k,1,,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.08184574998449534
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9855972857118009,0.07588583399774507
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,fixed_k,5,,2,0.0,0.0,0.0,0.0,0.8,0.9814139264910661,0.07811333399149589
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,threshold,2,0.0,2,0.0,0.0,0.0,0.0,0.5,0.9855972857118009,0.07716845799586736
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.05,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.07525016702129506
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.1,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.07693166701938026
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,fixed_k,1,,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.0073998750012833625
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9865951134269628,0.008012250007595867
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,fixed_k,5,,2,0.2,1.0,0.33333333333333337,0.2,0.4,0.9846352224922593,0.009389499988174066
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,threshold,6,0.0,2,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9860231154650548,0.010313167003914714
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,threshold,6,0.05,2,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9860231154650548,0.010515250003663823
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,threshold,6,0.1,2,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.9860231154650548,0.01026974999695085
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,fixed_k,1,,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.007569082983536646
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9865951134269628,0.008093000011285767
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,fixed_k,5,,2,0.0,0.0,0.0,0.2,0.6,0.9856175771358536,0.009948916005669162
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,threshold,8,0.0,2,0.125,1.0,0.2222222222222222,0.125,0.625,0.9850423945613411,0.011258792015723884
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,threshold,8,0.05,2,0.125,1.0,0.2222222222222222,0.125,0.625,0.9850423945613411,0.011249250004766509
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,threshold,7,0.1,2,0.14285714285714285,1.0,0.25,0.14285714285714285,0.5714285714285714,0.9847706290648417,0.011617584008490667
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,fixed_k,1,,2,0.0,0.0,0.0,0.0,0.0,0.9862655283663183,0.0077648330188822
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,fixed_k,2,,2,0.0,0.0,0.0,0.0,0.5,0.9865951134269628,0.010943875007797033
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,fixed_k,5,,2,0.0,0.0,0.0,0.2,0.6,0.9856175771358536,0.009855624986812472
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,threshold,8,0.0,2,0.125,1.0,0.2222222222222222,0.125,0.625,0.9849882766665329,0.011076957976911217
