method,source,dataset,k,seed,recovery_f1,noise_rate,runtime_s
MIQ,modmrmr,linear_control_reg,3,2,0.6666666666666666,0.3333333333333333,0.08051991701358929
MIQ,modmrmr,linear_control_reg,5,2,0.7499999999999999,0.4,0.08165241597453132
FCD,modmrmr,linear_control_reg,3,2,1.0,0.0,0.009132917039096355
FCD,modmrmr,linear_control_reg,5,2,0.7499999999999999,0.4,0.009705542004667222
FCQ,modmrmr,linear_control_reg,3,2,1.0,0.0,0.008840250025968999
FCQ,modmrmr,linear_control_reg,5,2,0.7499999999999999,0.4,0.010197499999776483
ModMRMR,modmrmr,linear_control_reg,3,2,0.6666666666666666,0.3333333333333333,0.00877795898122713
ModMRMR,modmrmr,linear_control_reg,5,2,0.7499999999999999,0.4,0.009897541021928191
mrmr_selection_classif,external,mixed,3,0,0.8571428571428571,0.0,1.298429041984491
mrmr_selection_classif,external,mixed,5,0,0.6666666666666665,0.4,0.8113197500351816
cmim,external,mixed,3,0,0.28571428571428575,0.6666666666666666,0.010881041001994163
cmim,external,mixed,5,0,0.4444444444444445,0.6,0.01668600004632026
jmi,external,mixed,3,0,0.5714285714285715,0.3333333333333333,0.010391333024017513
jmi,external,mixed,5,0,0.6666666666666665,0.4,0.0165668330155313
MID,modmrmr,mixed,3,0,0.5714285714285715,0.3333333333333333,0.10172579198842868
MID,modmrmr,mixed,5,0,0.4444444444444445,0.6,0.10149204102344811
MIQ,modmrmr,mixed,3,0,0.5714285714285715,0.3333333333333333,0.09940358297899365
MIQ,modmrmr,mixed,5,0,0.4444444444444445,0.6,0.10199125000508502
FCD,modmrmr,mixed,3,0,0.8571428571428571,0.0,0.010995167016517371
FCD,modmrmr,mixed,5,0,0.6666666666666665,0.4,0.011858291982207447
FCQ,modmrmr,mixed,3,0,0.8571428571428571,0.0,0.01102079200791195
FCQ,modmrmr,mixed,5,0,0.6666666666666665,0.4,0.011957499955315143
ModMRMR,modmrmr,mixed,3,0,0.5714285714285715,0.3333333333333333,0.010771040979307145
ModMRMR,modmrmr,mixed,5,0,0.4444444444444445,0.6,0.011855957971420139
mrmr_selection_classif,external,mixed,3,1,0.8571428571428571,0.0,1.3109914590022527
mrmr_selection_classif,external,mixed,5,1,0.888888888888889,0.2,0.826169874984771
cmim,external,mixed,3,1,0.28571428571428575,0.6666666666666666,0.010759875003714114
cmim,external,mixed,5,1,0.4444444444444445,0.6,0.016789957997389138
jmi,external,mixed,3,1,0.5714285714285715,0.3333333333333333,0.010504958976525813
jmi,external,mixed,5,1,0.6666666666666665,0.4,0.01704374997643754
MID,modmrmr,mixed,3,1,0.5714285714285715,0.3333333333333333,0.10156679101055488
MID,modmrmr,mixed,5,1,0.4444444444444445,0.6,0.1009831249830313
MIQ,modmrmr,mixed,3,1,0.5714285714285715,0.3333333333333333,0.0995884170406498
MIQ,modmrmr,mixed,5,1,0.4444444444444445,0.6,0.10147566598607227
FCD,modmrmr,mixed,3,1,0.8571428571428571,0.0,0.011046540981624275
FCD,modmrmr,mixed,5,1,0.888888888888889,0.2,0.011593791015911847
FCQ,modmrmr,mixed,3,1,0.8571428571428571,0.0,0.010784875019453466
FCQ,modmrmr,mixed,5,1,0.888888888888889,0.2,0.011867999972309917
ModMRMR,modmrmr,mixed,3,1,0.8571428571428571,0.0,0.010792500048410147
ModMRMR,modmrmr,mixed,5,1,0.6666666666666665,0.4,0.011894957977347076
mrmr_selection_classif,external,mixed,3,2,0.8571428571428571,0.0,1.3257372499792837
mrmr_selection_classif,external,mixed,5,2,0.888888888888889,0.2,0.8042806669836864
cmim,external,mixed,3,2,0.28571428571428575,0.6666666666666666,0.01092866697581485
cmim,external,mixed,5,2,0.4444444444444445,0.6,0.016840249998494983
jmi,external,mixed,3,2,0.5714285714285715,0.3333333333333333,0.010545458004344255
jmi,external,mixed,5,2,0.6666666666666665,0.4,0.01677495799958706
MID,modmrmr,mixed,3,2,0.5714285714285715,0.3333333333333333,0.10212545900139958
